,accuracy,duration,dead_kernels
0,0.925,15.962340354919434,[]
1,0.9,15.867539405822754,[]
2,0.85,15.64214301109314,[]
3,0.875,16.284512758255005,[]
4,0.9,16.60669493675232,[]
5,0.9,17.05938959121704,[]
6,0.875,15.597651481628418,[]
7,0.925,15.714295387268066,[]
8,out of memory,7.20657205581665,[]
9,out of memory,6.060545921325684,[]
10,out of memory,5.968191862106323,[]
11,out of memory,5.996291637420654,[]
12,out of memory,5.841621398925781,[]
13,out of memory,6.079598665237427,[]
14,out of memory,6.481597185134888,[]
15,out of memory,6.2395100593566895,[]
16,out of memory,6.192851543426514,[]
17,out of memory,6.148690938949585,[]
18,out of memory,6.263785362243652,[]
19,out of memory,6.952497482299805,[]
20,out of memory,7.366317272186279,[]
21,out of memory,7.0913331508636475,[]
22,out of memory,8.06986379623413,[]
23,out of memory,6.693696022033691,[]
24,out of memory,7.515645265579224,[]
