,accuracy,start,end,dead_kernels,external_start,external_end
0,0.875,2024-06-20T08:43:23.567051,2024-06-20T08:43:41.145973,[],2024-06-20T08:43:23.544723,2024-06-20T08:43:41.150369
1,0.875,2024-06-20T08:43:41.177505,2024-06-20T08:43:57.253653,[],2024-06-20T08:43:41.166288,2024-06-20T08:43:57.257275
2,0.85,2024-06-20T08:43:57.282195,2024-06-20T08:44:12.831266,[],2024-06-20T08:43:57.270711,2024-06-20T08:44:12.835165
3,0.9,2024-06-20T08:44:12.858653,2024-06-20T08:44:28.692345,[],2024-06-20T08:44:12.847616,2024-06-20T08:44:28.696402
4,0.875,2024-06-20T08:44:28.720816,2024-06-20T08:44:44.258094,[],2024-06-20T08:44:28.709310,2024-06-20T08:44:44.262081
5,0.875,2024-06-20T08:44:44.284369,2024-06-20T08:44:59.860330,[],2024-06-20T08:44:44.273917,2024-06-20T08:44:59.863673
6,0.85,2024-06-20T08:44:59.889322,2024-06-20T08:45:15.451039,[],2024-06-20T08:44:59.875391,2024-06-20T08:45:15.454673
7,0.925,2024-06-20T08:45:15.477780,2024-06-20T08:45:31.171111,[],2024-06-20T08:45:15.466663,2024-06-20T08:45:31.174632
8,out of memory,2024-06-20T08:45:31.197792,2024-06-20T08:45:37.976816,[],2024-06-20T08:45:31.186777,2024-06-20T08:45:37.980326
9,out of memory,2024-06-20T08:45:38.002996,2024-06-20T08:45:43.778005,[],2024-06-20T08:45:37.991342,2024-06-20T08:45:43.781913
10,out of memory,2024-06-20T08:45:43.805079,2024-06-20T08:45:49.677204,[],2024-06-20T08:45:43.793766,2024-06-20T08:45:49.680743
11,out of memory,2024-06-20T08:45:49.703057,2024-06-20T08:45:56.165190,[],2024-06-20T08:45:49.692148,2024-06-20T08:45:56.168764
12,out of memory,2024-06-20T08:45:56.194036,2024-06-20T08:46:02.315164,[],2024-06-20T08:45:56.180969,2024-06-20T08:46:02.320262
13,out of memory,2024-06-20T08:46:02.347829,2024-06-20T08:46:08.737910,[],2024-06-20T08:46:02.336754,2024-06-20T08:46:08.741814
14,out of memory,2024-06-20T08:46:08.765888,2024-06-20T08:46:14.643109,[],2024-06-20T08:46:08.754300,2024-06-20T08:46:14.646747
15,out of memory,2024-06-20T08:46:14.668917,2024-06-20T08:46:20.830774,[],2024-06-20T08:46:14.658232,2024-06-20T08:46:20.834772
16,out of memory,2024-06-20T08:46:20.857129,2024-06-20T08:46:26.509617,[],2024-06-20T08:46:20.846539,2024-06-20T08:46:26.513603
17,out of memory,2024-06-20T08:46:26.537993,2024-06-20T08:46:32.879448,[],2024-06-20T08:46:26.526849,2024-06-20T08:46:32.885291
18,out of memory,2024-06-20T08:46:32.915225,2024-06-20T08:46:39.147747,[],2024-06-20T08:46:32.901689,2024-06-20T08:46:39.152727
19,out of memory,2024-06-20T08:46:39.180378,2024-06-20T08:46:44.969970,[],2024-06-20T08:46:39.168514,2024-06-20T08:46:44.973237
20,out of memory,2024-06-20T08:46:44.997322,2024-06-20T08:46:50.776969,[],2024-06-20T08:46:44.985053,2024-06-20T08:46:50.780656
21,out of memory,2024-06-20T08:46:50.820748,2024-06-20T08:46:56.678864,[],2024-06-20T08:46:50.793313,2024-06-20T08:46:56.682299
22,out of memory,2024-06-20T08:46:56.702461,2024-06-20T08:47:02.673754,[],2024-06-20T08:46:56.692398,2024-06-20T08:47:02.677279
23,out of memory,2024-06-20T08:47:02.701162,2024-06-20T08:47:09.056119,[],2024-06-20T08:47:02.689050,2024-06-20T08:47:09.061166
24,out of memory,2024-06-20T08:47:09.087058,2024-06-20T08:47:15.263404,[],2024-06-20T08:47:09.076532,2024-06-20T08:47:15.266879
