,accuracy,start,end,dead_kernels,external_start,external_end
0,0.825,2024-08-21T14:05:31.001968,2024-08-21T14:05:50.878712,[],2024-08-21T14:05:30.982889,2024-08-21T14:05:50.950903
1,0.8,2024-08-21T14:05:50.972388,2024-08-21T14:06:08.814763,[],2024-08-21T14:05:50.964701,2024-08-21T14:06:08.890259
2,0.8,2024-08-21T14:06:08.917645,2024-08-21T14:06:27.770569,[],2024-08-21T14:06:08.907443,2024-08-21T14:06:27.847073
3,0.925,2024-08-21T14:06:27.873588,2024-08-21T14:06:45.298666,[],2024-08-21T14:06:27.860945,2024-08-21T14:06:45.510229
4,0.875,2024-08-21T14:06:45.539055,2024-08-21T14:07:03.669925,[],2024-08-21T14:06:45.526143,2024-08-21T14:07:03.742261
5,0.825,2024-08-21T14:07:03.768216,2024-08-21T14:07:21.214272,[],2024-08-21T14:07:03.757023,2024-08-21T14:07:21.285793
6,0.9,2024-08-21T14:07:21.309195,2024-08-21T14:07:38.639521,[],2024-08-21T14:07:21.301360,2024-08-21T14:07:38.710572
7,0.85,2024-08-21T14:07:38.729841,2024-08-21T14:07:56.804894,[],2024-08-21T14:07:38.723168,2024-08-21T14:07:56.875760
8,0.85,2024-08-21T14:07:56.892619,2024-08-21T14:08:14.222433,[],2024-08-21T14:07:56.886409,2024-08-21T14:08:14.293066
9,0.825,2024-08-21T14:08:14.312097,2024-08-21T14:08:31.028517,[],2024-08-21T14:08:14.305389,2024-08-21T14:08:31.131739
10,0.85,2024-08-21T14:08:31.150403,2024-08-21T14:08:49.036189,[],2024-08-21T14:08:31.144235,2024-08-21T14:08:49.120616
11,0.875,2024-08-21T14:08:49.138999,2024-08-21T14:09:07.215315,[],2024-08-21T14:08:49.132190,2024-08-21T14:09:07.284920
12,0.8,2024-08-21T14:09:07.303467,2024-08-21T14:09:25.317624,[],2024-08-21T14:09:07.296933,2024-08-21T14:09:25.388783
13,0.9,2024-08-21T14:09:25.407174,2024-08-21T14:09:44.299937,[],2024-08-21T14:09:25.400650,2024-08-21T14:09:44.368887
14,0.9,2024-08-21T14:09:44.388255,2024-08-21T14:10:02.588716,[],2024-08-21T14:09:44.381746,2024-08-21T14:10:02.657978
15,0.85,2024-08-21T14:10:02.674508,2024-08-21T14:10:20.506350,[],2024-08-21T14:10:02.668496,2024-08-21T14:10:20.577604
16,0.875,2024-08-21T14:10:20.597142,2024-08-21T14:10:38.048130,[],2024-08-21T14:10:20.590079,2024-08-21T14:10:38.117900
17,0.875,2024-08-21T14:10:38.137581,2024-08-21T14:10:55.364531,[],2024-08-21T14:10:38.130382,2024-08-21T14:10:55.433049
18,0.875,2024-08-21T14:10:55.451416,2024-08-21T14:11:12.549750,[],2024-08-21T14:10:55.444170,2024-08-21T14:11:12.618698
19,0.9,2024-08-21T14:11:12.637573,2024-08-21T14:11:29.645850,[],2024-08-21T14:11:12.631496,2024-08-21T14:11:29.720304
20,,2024-08-21T14:11:29.739185,2024-08-21T14:11:46.727003,[],2024-08-21T14:11:29.731394,2024-08-21T14:11:46.797058
21,0.85,2024-08-21T14:11:56.816717,2024-08-21T14:12:14.583519,[],2024-08-21T14:11:56.810867,2024-08-21T14:12:14.652902
22,0.9,2024-08-21T14:12:14.670761,2024-08-21T14:12:32.586857,[],2024-08-21T14:12:14.664512,2024-08-21T14:12:32.658905
23,0.9,2024-08-21T14:12:32.677309,2024-08-21T14:12:50.514258,[],2024-08-21T14:12:32.670297,2024-08-21T14:12:50.584454
24,0.85,2024-08-21T14:12:50.603211,2024-08-21T14:13:08.314552,[],2024-08-21T14:12:50.596975,2024-08-21T14:13:08.384668
