,accuracy,start,end,dead_kernels,external_start,external_end
0,97.86658653846153,2024-06-21T14:29:23.201321,2024-06-21T14:29:49.116026,[],2024-06-21T14:29:23.165380,2024-06-21T14:29:51.625721
1,98.14703525641026,2024-06-21T14:29:51.646333,2024-06-21T14:30:16.602839,[],2024-06-21T14:29:51.640214,2024-06-21T14:30:18.935340
2,97.89663461538461,2024-06-21T14:30:18.956524,2024-06-21T14:30:44.214453,[],2024-06-21T14:30:18.948289,2024-06-21T14:30:46.565210
3,98.05689102564102,2024-06-21T14:30:46.586246,2024-06-21T14:31:12.790511,[],2024-06-21T14:30:46.577514,2024-06-21T14:31:15.523440
4,98.03685897435898,2024-06-21T14:31:15.546772,2024-06-21T14:31:41.622808,[],2024-06-21T14:31:15.537232,2024-06-21T14:31:44.594178
5,97.84655448717949,2024-06-21T14:31:44.614358,2024-06-21T14:32:10.498552,[],2024-06-21T14:31:44.607701,2024-06-21T14:32:13.153242
6,98.37740384615384,2024-06-21T14:32:13.176464,2024-06-21T14:32:39.296873,[],2024-06-21T14:32:13.167719,2024-06-21T14:32:42.128747
7,97.88661858974359,2024-06-21T14:32:42.149118,2024-06-21T14:33:08.448164,[],2024-06-21T14:32:42.142079,2024-06-21T14:33:11.041968
8,98.03685897435898,2024-06-21T14:33:11.064473,2024-06-21T14:33:37.602915,[],2024-06-21T14:33:11.056510,2024-06-21T14:33:40.066683
9,98.30729166666667,2024-06-21T14:33:40.087638,2024-06-21T14:34:06.575734,[],2024-06-21T14:33:40.079572,2024-06-21T14:34:09.527119
10,97.85657051282051,2024-06-21T14:34:09.548044,2024-06-21T14:34:36.366999,[],2024-06-21T14:34:09.539476,2024-06-21T14:34:39.029085
11,97.75641025641026,2024-06-21T14:34:39.051610,2024-06-21T14:35:05.823479,[],2024-06-21T14:34:39.044376,2024-06-21T14:35:09.196683
12,97.94671474358974,2024-06-21T14:35:09.217439,2024-06-21T14:35:36.397788,[],2024-06-21T14:35:09.210715,2024-06-21T14:35:39.046668
13,97.9266826923077,2024-06-21T14:35:39.067143,2024-06-21T14:36:05.265964,[],2024-06-21T14:35:39.058413,2024-06-21T14:36:07.955750
14,97.76642628205128,2024-06-21T14:36:07.977615,2024-06-21T14:36:35.173502,[],2024-06-21T14:36:07.970656,2024-06-21T14:36:38.120888
15,98.0068108974359,2024-06-21T14:36:38.144000,2024-06-21T14:37:05.541269,[],2024-06-21T14:36:38.135436,2024-06-21T14:37:08.065335
16,97.71634615384616,2024-06-21T14:37:08.091187,2024-06-21T14:37:34.601554,[],2024-06-21T14:37:08.082528,2024-06-21T14:37:37.075123
17,97.97676282051282,2024-06-21T14:37:37.097628,2024-06-21T14:38:04.455674,[],2024-06-21T14:37:37.089890,2024-06-21T14:38:07.179359
18,97.86658653846153,2024-06-21T14:38:07.203114,2024-06-21T14:38:34.025658,[],2024-06-21T14:38:07.194480,2024-06-21T14:38:37.129647
19,97.7363782051282,2024-06-21T14:38:37.152160,2024-06-21T14:39:04.968052,[],2024-06-21T14:38:37.144363,2024-06-21T14:39:08.279702
20,98.20713141025641,2024-06-21T14:39:08.301338,2024-06-21T14:39:35.121149,[],2024-06-21T14:39:08.294025,2024-06-21T14:39:37.806509
21,97.63621794871794,2024-06-21T14:39:37.990535,2024-06-21T14:40:04.871267,[],2024-06-21T14:39:37.821698,2024-06-21T14:40:07.803280
22,97.94671474358974,2024-06-21T14:40:07.825960,2024-06-21T14:40:35.443554,[],2024-06-21T14:40:07.819305,2024-06-21T14:40:38.164618
23,98.0869391025641,2024-06-21T14:40:38.189509,2024-06-21T14:41:05.513372,[],2024-06-21T14:40:38.180889,2024-06-21T14:41:08.409262
24,97.60616987179488,2024-06-21T14:41:08.432513,2024-06-21T14:41:36.172340,[],2024-06-21T14:41:08.424040,2024-06-21T14:41:39.154732
