,accuracy,start,end,dead_kernels,external_start,external_end
0,0.925,2024-07-02T11:21:35.057944,2024-07-02T11:21:57.611971,[],2024-07-02T11:21:35.006072,2024-07-02T11:22:00.378120
1,0.875,2024-07-02T11:22:00.394862,2024-07-02T11:22:21.973297,[],2024-07-02T11:22:00.388742,2024-07-02T11:22:24.751468
2,0.775,2024-07-02T11:22:24.768999,2024-07-02T11:22:46.205466,[],2024-07-02T11:22:24.762685,2024-07-02T11:22:49.073113
3,0.85,2024-07-02T11:22:49.091723,2024-07-02T11:23:11.287322,[],2024-07-02T11:22:49.084949,2024-07-02T11:23:14.024704
4,0.925,2024-07-02T11:23:14.042177,2024-07-02T11:23:35.000703,[],2024-07-02T11:23:14.035883,2024-07-02T11:23:37.651161
5,0.9,2024-07-02T11:23:37.669098,2024-07-02T11:23:59.775903,[],2024-07-02T11:23:37.662633,2024-07-02T11:24:02.539560
6,0.925,2024-07-02T11:24:02.559202,2024-07-02T11:24:25.021726,[],2024-07-02T11:24:02.552740,2024-07-02T11:24:27.782266
7,0.9,2024-07-02T11:24:27.802244,2024-07-02T11:24:50.278144,[],2024-07-02T11:24:27.796016,2024-07-02T11:24:53.062447
8,0.85,2024-07-02T11:24:53.080912,2024-07-02T11:25:15.832349,[],2024-07-02T11:24:53.074329,2024-07-02T11:25:18.565650
9,0.775,2024-07-02T11:25:18.582502,2024-07-02T11:25:41.347965,[],2024-07-02T11:25:18.576193,2024-07-02T11:25:44.093778
10,0.875,2024-07-02T11:25:44.111609,2024-07-02T11:26:06.105528,[],2024-07-02T11:25:44.105566,2024-07-02T11:26:08.947303
11,0.825,2024-07-02T11:26:08.966617,2024-07-02T11:26:31.300570,[],2024-07-02T11:26:08.960132,2024-07-02T11:26:34.065197
12,0.875,2024-07-02T11:26:34.083822,2024-07-02T11:26:55.541265,[],2024-07-02T11:26:34.076820,2024-07-02T11:26:58.356092
13,0.8,2024-07-02T11:26:58.374660,2024-07-02T11:27:20.260348,[],2024-07-02T11:26:58.368174,2024-07-02T11:27:23.177126
14,0.9,2024-07-02T11:27:23.193784,2024-07-02T11:27:44.326032,[],2024-07-02T11:27:23.187832,2024-07-02T11:27:47.884947
15,0.9,2024-07-02T11:27:47.901480,2024-07-02T11:28:10.093450,[],2024-07-02T11:27:47.895252,2024-07-02T11:28:12.974248
16,0.9,2024-07-02T11:28:12.991932,2024-07-02T11:28:35.606148,[],2024-07-02T11:28:12.985938,2024-07-02T11:28:39.152813
17,0.9,2024-07-02T11:28:39.171083,2024-07-02T11:29:02.018894,[],2024-07-02T11:28:39.165002,2024-07-02T11:29:05.037507
18,0.85,2024-07-02T11:29:05.057779,2024-07-02T11:29:28.506652,[],2024-07-02T11:29:05.051425,2024-07-02T11:29:31.600529
19,0.9,2024-07-02T11:29:31.621034,2024-07-02T11:29:54.840640,[],2024-07-02T11:29:31.614538,2024-07-02T11:29:58.067658
20,0.875,2024-07-02T11:29:58.088983,2024-07-02T11:30:20.255452,[],2024-07-02T11:29:58.082302,2024-07-02T11:30:23.379880
21,0.825,2024-07-02T11:30:23.472547,2024-07-02T11:30:47.208604,[],2024-07-02T11:30:23.392317,2024-07-02T11:30:50.586413
22,0.9,2024-07-02T11:30:50.609694,2024-07-02T11:31:14.177057,[],2024-07-02T11:30:50.600779,2024-07-02T11:31:17.374622
23,0.85,2024-07-02T11:31:17.397547,2024-07-02T11:31:41.175545,[],2024-07-02T11:31:17.389102,2024-07-02T11:31:44.623535
24,0.85,2024-07-02T11:31:44.645577,2024-07-02T11:32:07.922674,[],2024-07-02T11:31:44.639174,2024-07-02T11:32:11.348903
