,accuracy,duration,dead_kernels
0,0.9,18.02826738357544,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
1,0.9,17.184082984924316,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
2,0.775,16.44755983352661,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
3,0.8,16.692781925201416,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
4,0.875,17.72035551071167,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
5,0.875,16.7622389793396,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
6,0.875,18.328585386276245,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
7,0.9,17.034329414367676,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
8,0.9,17.375879764556885,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
9,0.9,18.54278540611267,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
10,0.875,17.574336528778076,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
11,0.9,18.146404266357422,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
12,0.925,17.791486501693726,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
13,0.9,17.601495027542114,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
14,0.875,18.34267783164978,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
15,0.8,17.561927556991577,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
16,0.875,17.795913219451904,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
17,0.725,18.038268089294434,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
18,0.875,24.754623413085938,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
19,0.9,37.16917943954468,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
20,0.875,27.278658390045166,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
21,0.925,21.829788208007812,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
22,0.9,22.526509523391724,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
23,0.875,26.846376419067383,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
24,0.825,27.460543632507324,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [19], [19, 20], [19, 20, 21], [19, 20, 21, 22], [19, 20, 21, 22, 23]]"
