,timestamp,gpu_memory_util,gpu_util,power,total_energy,temperature,gpu_memory_total,gpu_memory_reserved,gpu_memory_free,gpu_memory_used,cpu_util,host_memory_total,host_memory_used,host_memory_free,host_memory_percentage
0,2024-06-19T17:11:23.532883,0,0,60367,16474258245,44,48305799168,569180160,47736422400,196608,11.3,101243179008,2754871296,97884135424,3.6
1,2024-06-19T17:11:24.027864,0,0,60367,16474288341,44,48305799168,569180160,47736422400,196608,28.1,101243179008,3137368064,97500717056,4.0
2,2024-06-19T17:11:24.528335,0,0,60358,16474318451,44,48305799168,569180160,47736422400,196608,87.7,101243179008,3942035456,96692686848,4.8
3,2024-06-19T17:11:25.028978,0,0,60358,16474341457,43,48305799168,569180160,47736422400,196608,6.0,101243179008,3995856896,96625774592,4.8
4,2024-06-19T17:11:25.529580,0,0,60406,16474364773,44,48305799168,569180160,47736422400,196608,6.8,101243179008,4068868096,96475365376,4.9
5,2024-06-19T17:11:26.029922,0,0,60406,16474395882,44,48305799168,569180160,47736422400,196608,3.5,101243179008,4111855616,96379113472,4.9
6,2024-06-19T17:11:26.530325,0,0,61390,16474427020,44,48305799168,569180160,47736422400,196608,3.8,101243179008,4152971264,96322916352,5.0
7,2024-06-19T17:11:27.030921,0,0,61390,16474458060,44,48305799168,569180160,47736422400,196608,19.7,101243179008,4199477248,96254717952,5.0
8,2024-06-19T17:11:27.676852,0,0,61390,16474480602,43,48305799168,569180160,47736422400,196608,4.8,101243179008,4228587520,96219680768,5.1
9,2024-06-19T17:11:28.032135,0,0,44883,16474504807,44,48305799168,569180160,47736422400,196608,0.6,101243179008,4221509632,96226660352,5.1
10,2024-06-19T17:11:28.532731,0,0,43865,16474534862,44,48305799168,569180160,47736422400,196608,0.5,101243179008,4221759488,96226402304,5.1
11,2024-06-19T17:11:29.033326,0,0,43865,16474564906,44,48305799168,569180160,47736422400,196608,0.3,101243179008,4222009344,96226144256,5.1
12,2024-06-19T17:11:29.533888,0,0,60324,16474591473,44,48305799168,569180160,47736422400,196608,0.5,101243179008,4223041536,96225112064,5.1
13,2024-06-19T17:11:30.034427,0,0,60324,16474602941,43,48305799168,569180160,47736422400,196608,4.4,101243179008,4228845568,96219308032,5.1
14,2024-06-19T17:11:30.536481,0,0,60276,16474632833,44,48305799168,569180160,47735701504,917504,2.6,101243179008,4275556352,96124010496,5.1
15,2024-06-19T17:11:31.035733,0,0,60406,16474663024,44,48305799168,569180160,47733407744,3211264,3.8,101243179008,4432281600,95960702976,5.3
16,2024-06-19T17:11:31.536322,0,0,60530,16474693113,44,48305799168,569180160,47733407744,3211264,5.0,101243179008,4604051456,95788584960,5.4
17,2024-06-19T17:11:32.037028,0,0,65086,16474727588,45,48305799168,569180160,47409070080,327548928,29.3,101243179008,4771758080,95245832192,5.6
18,2024-06-19T17:11:32.537560,0,0,76238,16474767850,45,48305799168,569180160,47406972928,329646080,4.7,101243179008,5217107968,94669668352,6.0
19,2024-06-19T17:11:33.038107,0,21,80999,16474807833,45,48305799168,569180160,46870102016,866516992,3.6,101243179008,5213327360,94572331008,6.0
20,2024-06-19T17:11:33.538722,0,0,79892,16474846996,45,48305799168,569180160,46870102016,866516992,3.9,101243179008,5886373888,93821927424,6.7
21,2024-06-19T17:11:34.039298,13,100,125807,16474925989,49,48305799168,569180160,42172481536,5564137472,9.2,101243179008,5902893056,93805375488,6.7
22,2024-06-19T17:11:34.575296,33,99,160187,16475058103,54,48305799168,569180160,42172481536,5564137472,8.2,101243179008,5917589504,93790679040,6.7
23,2024-06-19T17:11:35.040463,62,96,257657,16475191583,56,48305799168,569180160,42172481536,5564137472,5.3,101243179008,5909577728,93798682624,6.7
24,2024-06-19T17:11:35.541106,62,96,274084,16475327170,57,48305799168,569180160,42172481536,5564137472,5.5,101243179008,5911322624,93796937728,6.7
25,2024-06-19T17:11:36.041696,62,98,258715,16475461997,54,48305799168,569180160,42172481536,5564137472,4.9,101243179008,5916483584,93791776768,6.7
26,2024-06-19T17:11:36.542425,0,0,194233,16475502074,49,48305799168,569180160,42172481536,5564137472,0.7,101243179008,5916741632,93791518720,6.7
27,2024-06-19T17:11:37.043044,21,34,117805,16475595357,56,48305799168,569180160,42172481536,5564137472,6.3,101243179008,5922156544,93786103808,6.7
28,2024-06-19T17:11:37.543634,62,96,196954,16475731368,57,48305799168,569180160,42172481536,5564137472,5.4,101243179008,5922152448,93786103808,6.7
29,2024-06-19T17:11:38.044236,64,95,269851,16475868446,58,48305799168,569180160,42172481536,5564137472,5.6,101243179008,5924466688,93783789568,6.8
30,2024-06-19T17:11:38.544842,62,96,277144,16476007145,59,48305799168,569180160,42172481536,5564137472,5.4,101243179008,5924724736,93783531520,6.8
31,2024-06-19T17:11:39.045311,67,97,244277,16476116722,54,48305799168,569180160,42172481536,5564137472,5.2,101243179008,5930401792,93777854464,6.8
32,2024-06-19T17:11:39.545916,0,0,183083,16476178581,56,48305799168,569180160,42172481536,5564137472,2.7,101243179008,5930352640,93777870848,6.8
33,2024-06-19T17:11:40.046582,62,96,189683,16476317156,59,48305799168,569180160,42172481536,5564137472,5.9,101243179008,5935742976,93772480512,6.8
34,2024-06-19T17:11:40.547211,61,96,268056,16476453959,59,48305799168,569180160,42172481536,5564137472,5.1,101243179008,5935476736,93772738560,6.8
35,2024-06-19T17:11:41.047822,64,95,273573,16476593961,60,48305799168,569180160,42172481536,5564137472,5.4,101243179008,5941125120,93767090176,6.8
36,2024-06-19T17:11:41.548373,64,99,281899,16476733434,57,48305799168,569180160,42172481536,5564137472,7.8,101243179008,5934157824,93774057472,6.8
37,2024-06-19T17:11:42.049139,0,0,183228,16476776271,53,48305799168,569180160,42172481536,5564137472,1.4,101243179008,5938286592,93769928704,6.8
38,2024-06-19T17:11:42.549713,22,34,100869,16476832852,53,48305799168,569180160,42172481536,5564137472,1.5,101243179008,5938253824,93769961472,6.8
39,2024-06-19T17:11:43.050316,0,0,84737,16476872938,51,48305799168,569180160,42172481536,5564137472,4.4,101243179008,5948530688,93759668224,6.8
40,2024-06-19T17:11:43.564445,0,0,84333,16476913507,51,48305799168,569180160,42172481536,5564137472,19.9,101243179008,6025641984,93682552832,6.9
41,2024-06-19T17:11:44.051499,0,0,84333,16476953750,50,48305799168,569180160,42172481536,5564137472,5.9,101243179008,6113071104,93595082752,6.9
42,2024-06-19T17:11:44.551881,0,0,79460,16476993263,50,48305799168,569180160,42172481536,5564137472,20.7,101243179008,6180745216,93527261184,7.0
43,2024-06-19T17:11:45.052658,0,0,79460,16477032688,50,48305799168,569180160,42172481536,5564137472,2.7,101243179008,6197518336,93510488064,7.0
44,2024-06-19T17:11:45.553234,0,0,79377,16477072091,50,48305799168,569180160,42172481536,5564137472,0.4,101243179008,6198550528,93509455872,7.0
45,2024-06-19T17:11:46.053584,0,0,79377,16477112269,49,48305799168,569180160,42172481536,5564137472,2.5,101243179008,6196830208,93511176192,7.0
46,2024-06-19T17:11:46.554442,0,0,79183,16477151608,49,48305799168,569180160,42172481536,5564137472,0.7,101243179008,6201241600,93506658304,7.0
47,2024-06-19T17:11:47.055194,0,0,79183,16477190853,49,48305799168,569180160,42172481536,5564137472,0.2,101243179008,6201241600,93506658304,7.0
48,2024-06-19T17:11:47.555780,0,0,78988,16477230129,49,48305799168,569180160,42172481536,5564137472,0.5,101243179008,6202277888,93505626112,7.0
49,2024-06-19T17:11:48.056392,0,0,78988,16477270731,49,48305799168,569180160,42172481536,5564137472,2.4,101243179008,6207946752,93499957248,7.0
50,2024-06-19T17:11:48.556932,0,0,79816,16477310843,49,48305799168,569180160,42172481536,5564137472,2.2,101243179008,6229532672,93478371328,7.1
51,2024-06-19T17:11:49.057392,0,0,79816,16477351157,49,48305799168,569180160,42172481536,5564137472,4.1,101243179008,6385680384,93322199040,7.2
52,2024-06-19T17:11:49.557750,0,0,80931,16477391395,49,48305799168,569180160,42172481536,5564137472,8.8,101243179008,6559604736,93148274688,7.4
53,2024-06-19T17:11:50.131579,0,5,81816,16477441453,49,48305799168,569180160,41846046720,5890572288,6.5,101243179008,7347793920,92349599744,8.2
54,2024-06-19T17:11:50.558781,0,19,84200,16477475009,49,48305799168,569180160,41309175808,6427443200,6.4,101243179008,7605301248,92085862400,8.4
55,2024-06-19T17:11:51.059374,6,46,100095,16477531514,54,48305799168,569180160,37416861696,10319757312,7.4,101243179008,7874076672,91817086976,8.7
56,2024-06-19T17:11:51.559896,60,95,173280,16477654297,57,48305799168,569180160,36611555328,11125063680,5.8,101243179008,7875469312,91815694336,8.7
57,2024-06-19T17:11:52.060534,61,95,257345,16477790558,59,48305799168,569180160,36611555328,11125063680,5.3,101243179008,7875362816,91815694336,8.7
58,2024-06-19T17:11:52.560963,61,95,280776,16477927856,60,48305799168,569180160,36611555328,11125063680,9.1,101243179008,7870779392,91820277760,8.7
59,2024-06-19T17:11:53.061508,62,95,272489,16478067289,60,48305799168,569180160,36611555328,11125063680,5.3,101243179008,7870779392,91820277760,8.7
60,2024-06-19T17:11:53.562172,44,62,213294,16478135281,54,48305799168,569180160,36611555328,11125063680,1.4,101243179008,7870779392,91820277760,8.7
61,2024-06-19T17:11:54.062607,28,46,164995,16478233989,59,48305799168,569180160,36611555328,11125063680,4.3,101243179008,7870779392,91820277760,8.7
62,2024-06-19T17:11:54.828406,61,96,229238,16478454293,61,48305799168,569180160,36611555328,11125063680,7.7,101243179008,7888945152,91802103808,8.7
63,2024-06-19T17:11:55.063582,61,93,277689,16478510189,61,48305799168,569180160,36611555328,11125063680,5.7,101243179008,7881203712,91809837056,8.7
64,2024-06-19T17:11:55.564247,61,96,271780,16478650966,62,48305799168,569180160,36611555328,11125063680,5.2,101243179008,7881203712,91809837056,8.7
65,2024-06-19T17:11:56.064771,67,96,251356,16478758138,56,48305799168,569180160,36611555328,11125063680,2.8,101243179008,7881191424,91809849344,8.7
66,2024-06-19T17:11:56.565368,0,0,154352,16478799591,54,48305799168,569180160,36611555328,11125063680,1.2,101243179008,7881707520,91809333248,8.7
67,2024-06-19T17:11:57.181647,1,2,142586,16478970888,61,48305799168,569180160,36611555328,11125063680,8.0,101243179008,7888928768,91802120192,8.7
68,2024-06-19T17:11:57.566164,60,94,244654,16479053472,62,48305799168,569180160,36611555328,11125063680,5.2,101243179008,7881703424,91809345536,8.7
69,2024-06-19T17:11:58.066741,61,95,281713,16479192316,62,48305799168,569180160,36611555328,11125063680,5.2,101243179008,7881703424,91809345536,8.7
70,2024-06-19T17:11:58.567349,64,94,276167,16479332754,62,48305799168,569180160,36611555328,11125063680,5.8,101243179008,7882465280,91808575488,8.7
71,2024-06-19T17:11:59.068089,38,54,231988,16479418685,56,48305799168,569180160,36611555328,11125063680,1.6,101243179008,7882457088,91808575488,8.7
72,2024-06-19T17:11:59.568676,22,34,154769,16479477028,56,48305799168,569180160,36611555328,11125063680,3.8,101243179008,7878840320,91812192256,8.7
73,2024-06-19T17:12:00.069462,0,0,97101,16479518171,54,48305799168,569180160,36611555328,11125063680,0.6,101243179008,7878840320,91812192256,8.7
74,2024-06-19T17:12:00.570075,0,0,96874,16479559038,54,48305799168,569180160,36611555328,11125063680,21.4,101243179008,7927283712,91763712000,8.7
75,2024-06-19T17:12:01.070639,0,0,96874,16479599608,53,48305799168,569180160,36611555328,11125063680,5.1,101243179008,8022323200,91668492288,8.8
76,2024-06-19T17:12:01.595219,0,0,81576,16479649656,53,48305799168,569180160,36611555328,11125063680,6.6,101243179008,8100511744,91590303744,8.9
77,2024-06-19T17:12:02.071781,0,0,81576,16479682098,53,48305799168,569180160,36611555328,11125063680,21.8,101243179008,8105377792,91585437696,8.9
78,2024-06-19T17:12:02.572462,0,0,81321,16479722436,53,48305799168,569180160,36611555328,11125063680,2.4,101243179008,8117309440,91573383168,8.9
79,2024-06-19T17:12:03.072894,0,0,81321,16479770808,52,48305799168,569180160,36611555328,11125063680,0.6,101243179008,8117825536,91572867072,8.9
80,2024-06-19T17:12:03.573527,0,0,81273,16479810998,52,48305799168,569180160,36611555328,11125063680,0.5,101243179008,8118083584,91572609024,8.9
81,2024-06-19T17:12:04.073881,0,0,81273,16479852634,52,48305799168,569180160,36611555328,11125063680,2.0,101243179008,8116772864,91573919744,8.9
82,2024-06-19T17:12:04.574428,0,0,81082,16479892770,52,48305799168,569180160,36611555328,11125063680,1.0,101243179008,8119361536,91571339264,8.9
83,2024-06-19T17:12:05.075062,0,0,81082,16479932888,52,48305799168,569180160,36611555328,11125063680,0.9,101243179008,8120135680,91570565120,8.9
84,2024-06-19T17:12:05.575681,0,0,81083,16479972978,52,48305799168,569180160,36611555328,11125063680,2.8,101243179008,8215191552,91475406848,9.0
85,2024-06-19T17:12:06.076261,0,0,81083,16480013828,52,48305799168,569180160,36611555328,11125063680,6.8,101243179008,8334938112,91355660288,9.1
86,2024-06-19T17:12:06.577108,0,0,81298,16480054735,52,48305799168,569180160,36287217664,11449401344,9.3,101243179008,8754495488,90925887488,9.6
87,2024-06-19T17:12:07.077506,0,1,81812,16480095913,52,48305799168,569180160,35746152448,11990466560,5.9,101243179008,9102487552,90571436032,9.9
88,2024-06-19T17:12:07.577948,0,0,87357,16480145229,53,48305799168,569180160,33598668800,14137950208,6.8,101243179008,9777057792,89896865792,10.6
89,2024-06-19T17:12:08.282666,27,100,122452,16480304890,60,48305799168,569180160,31048531968,16688087040,8.7,101243179008,9789378560,89884545024,10.6
90,2024-06-19T17:12:08.578882,61,95,220220,16480388059,61,48305799168,569180160,31048531968,16688087040,5.4,101243179008,9781637120,89892286464,10.6
91,2024-06-19T17:12:09.079499,60,94,275164,16480522375,61,48305799168,569180160,31048531968,16688087040,5.8,101243179008,9784389632,89889484800,10.6
92,2024-06-19T17:12:09.580089,61,94,278350,16480661922,62,48305799168,569180160,31048531968,16688087040,5.2,101243179008,9784389632,89889484800,10.6
93,2024-06-19T17:12:10.080714,67,97,236892,16480759774,57,48305799168,569180160,31048531968,16688087040,3.1,101243179008,9784389632,89889484800,10.6
94,2024-06-19T17:12:10.581254,0,0,188761,16480802417,55,48305799168,569180160,31048531968,16688087040,2.6,101243179008,9785667584,89888239616,10.6
95,2024-06-19T17:12:11.081857,42,69,163264,16480929715,61,48305799168,569180160,31048531968,16688087040,5.4,101243179008,9786429440,89887469568,10.6
96,2024-06-19T17:12:11.582347,61,94,244604,16481068942,63,48305799168,569180160,31048531968,16688087040,5.4,101243179008,9786687488,89887211520,10.6
97,2024-06-19T17:12:12.083035,62,96,282984,16481210384,63,48305799168,569180160,31048531968,16688087040,5.3,101243179008,9786654720,89887211520,10.6
98,2024-06-19T17:12:12.829676,61,95,280280,16481403000,61,48305799168,569180160,31048531968,16688087040,7.2,101243179008,9797996544,89875869696,10.6
99,2024-06-19T17:12:13.083845,0,0,219467,16481429212,58,48305799168,569180160,31048531968,16688087040,0.8,101243179008,9782341632,89891524608,10.6
100,2024-06-19T17:12:13.584740,0,0,143039,16481477639,58,48305799168,569180160,31048531968,16688087040,1.4,101243179008,9782779904,89891102720,10.6
101,2024-06-19T17:12:14.085222,61,95,178248,16481615345,63,48305799168,569180160,31048531968,16688087040,5.3,101243179008,9782779904,89891102720,10.6
102,2024-06-19T17:12:14.585785,61,95,262815,16481755067,64,48305799168,569180160,31048531968,16688087040,5.1,101243179008,9782779904,89891102720,10.6
103,2024-06-19T17:12:15.175612,61,95,283473,16481922960,64,48305799168,569180160,31048531968,16688087040,8.7,101243179008,9792065536,89881817088,10.6
104,2024-06-19T17:12:15.586914,66,98,283608,16482033254,64,48305799168,569180160,31048531968,16688087040,5.3,101243179008,9784565760,89889300480,10.6
105,2024-06-19T17:12:16.087683,23,36,191291,16482094551,58,48305799168,569180160,31048531968,16688087040,1.1,101243179008,9784557568,89889300480,10.6
106,2024-06-19T17:12:16.588130,22,34,124798,16482151978,57,48305799168,569180160,31048531968,16688087040,1.7,101243179008,9784803328,89889071104,10.6
107,2024-06-19T17:12:17.088632,0,0,87280,16482193721,56,48305799168,569180160,31048531968,16688087040,9.8,101243179008,9802272768,89871589376,10.6
