,accuracy,start,end,dead_kernels,external_start,external_end
0,0.875,2024-07-02T11:53:20.241261,2024-07-02T11:53:37.815497,[],2024-07-02T11:53:20.218496,2024-07-02T11:53:37.819405
1,0.85,2024-07-02T11:53:37.838271,2024-07-02T11:53:54.297513,[],2024-07-02T11:53:37.831596,2024-07-02T11:53:54.301519
2,0.8,2024-07-02T11:53:54.318911,2024-07-02T11:54:11.552855,[],2024-07-02T11:53:54.312636,2024-07-02T11:54:11.557334
3,0.875,2024-07-02T11:54:11.575717,2024-07-02T11:54:28.199158,[],2024-07-02T11:54:11.569604,2024-07-02T11:54:28.203226
4,0.925,2024-07-02T11:54:28.222197,2024-07-02T11:54:46.163532,[],2024-07-02T11:54:28.214724,2024-07-02T11:54:46.168950
5,0.9,2024-07-02T11:54:46.190498,2024-07-02T11:55:02.576105,[],2024-07-02T11:54:46.183451,2024-07-02T11:55:02.580402
6,0.9,2024-07-02T11:55:02.600255,2024-07-02T11:55:19.461914,[],2024-07-02T11:55:02.592340,2024-07-02T11:55:19.466723
7,0.825,2024-07-02T11:55:19.486100,2024-07-02T11:55:36.103571,[],2024-07-02T11:55:19.477918,2024-07-02T11:55:36.108664
8,0.925,2024-07-02T11:55:36.127384,2024-07-02T11:55:54.090284,[],2024-07-02T11:55:36.121647,2024-07-02T11:55:54.094965
9,0.9,2024-07-02T11:55:54.112385,2024-07-02T11:56:13.193111,[],2024-07-02T11:55:54.106194,2024-07-02T11:56:13.197928
10,0.9,2024-07-02T11:56:13.217516,2024-07-02T11:56:32.782209,[],2024-07-02T11:56:13.210744,2024-07-02T11:56:32.786306
11,0.875,2024-07-02T11:56:32.805202,2024-07-02T11:56:51.632587,[],2024-07-02T11:56:32.798604,2024-07-02T11:56:51.636819
12,0.925,2024-07-02T11:56:51.658349,2024-07-02T11:57:11.259588,[],2024-07-02T11:56:51.651384,2024-07-02T11:57:11.264781
13,0.925,2024-07-02T11:57:11.288201,2024-07-02T11:57:30.908855,[],2024-07-02T11:57:11.279723,2024-07-02T11:57:30.913153
14,0.925,2024-07-02T11:57:30.931755,2024-07-02T11:57:50.183209,[],2024-07-02T11:57:30.924559,2024-07-02T11:57:50.188773
15,0.875,2024-07-02T11:57:50.208227,2024-07-02T11:58:09.300361,[],2024-07-02T11:57:50.200998,2024-07-02T11:58:09.306117
16,0.875,2024-07-02T11:58:09.326704,2024-07-02T11:58:28.891333,[],2024-07-02T11:58:09.321068,2024-07-02T11:58:28.895946
17,0.85,2024-07-02T11:58:28.914916,2024-07-02T11:58:48.717918,[],2024-07-02T11:58:28.907123,2024-07-02T11:58:48.722784
18,0.9,2024-07-02T11:58:48.743863,2024-07-02T11:59:13.890119,[],2024-07-02T11:58:48.736056,2024-07-02T11:59:14.026041
19,0.85,2024-07-02T11:59:14.517350,2024-07-02T11:59:48.424945,[],2024-07-02T11:59:14.100344,2024-07-02T11:59:48.431168
20,0.85,2024-07-02T11:59:48.842896,2024-07-02T12:00:13.089662,[19],2024-07-02T11:59:48.444275,2024-07-02T12:00:13.093806
21,kernel died,,,"[19, 21]",2024-07-02T12:00:13.105938,2024-07-02T12:01:09.644953
22,0.825,2024-07-02T12:01:10.051911,2024-07-02T12:01:40.214899,"[7, 19, 21]",2024-07-02T12:01:09.645486,2024-07-02T12:01:40.219463
23,0.85,2024-07-02T12:01:40.593637,2024-07-02T12:02:03.238623,"[7, 19, 21, 22]",2024-07-02T12:01:40.231580,2024-07-02T12:02:03.243014
24,0.825,2024-07-02T12:02:03.625769,2024-07-02T12:02:27.442146,"[7, 19, 21, 22, 23]",2024-07-02T12:02:03.255922,2024-07-02T12:02:27.446643
