,accuracy,start,end,dead_kernels,external_start,external_end
0,0.875,2024-08-21T14:15:53.038170,2024-08-21T14:16:10.575750,[],2024-08-21T14:15:53.030175,2024-08-21T14:16:10.727806
1,0.925,2024-08-21T14:16:10.746576,2024-08-21T14:16:28.140192,[],2024-08-21T14:16:10.740166,2024-08-21T14:16:28.291659
2,0.825,2024-08-21T14:16:28.310198,2024-08-21T14:16:46.023179,[],2024-08-21T14:16:28.304031,2024-08-21T14:16:46.173448
3,0.825,2024-08-21T14:16:46.193673,2024-08-21T14:17:04.585938,[],2024-08-21T14:16:46.184622,2024-08-21T14:17:04.729269
4,0.9,2024-08-21T14:17:04.751465,2024-08-21T14:17:22.504796,[],2024-08-21T14:17:04.744583,2024-08-21T14:17:22.657377
5,0.925,2024-08-21T14:17:22.675464,2024-08-21T14:17:40.445477,[],2024-08-21T14:17:22.669648,2024-08-21T14:17:40.597301
6,0.875,2024-08-21T14:17:40.614791,2024-08-21T14:17:58.364709,[],2024-08-21T14:17:40.608215,2024-08-21T14:17:58.517293
7,0.85,2024-08-21T14:17:58.535728,2024-08-21T14:18:14.990362,[],2024-08-21T14:17:58.529516,2024-08-21T14:18:15.140856
8,0.85,2024-08-21T14:18:15.158651,2024-08-21T14:18:31.820400,[],2024-08-21T14:18:15.152662,2024-08-21T14:18:31.971229
9,0.875,2024-08-21T14:18:31.989120,2024-08-21T14:18:50.612017,[],2024-08-21T14:18:31.982667,2024-08-21T14:18:50.760570
10,0.875,2024-08-21T14:18:50.779841,2024-08-21T14:19:09.576398,[],2024-08-21T14:18:50.773180,2024-08-21T14:19:09.715301
11,0.85,2024-08-21T14:19:09.737234,2024-08-21T14:19:27.418107,[],2024-08-21T14:19:09.730570,2024-08-21T14:19:27.559677
12,0.9,2024-08-21T14:19:27.582739,2024-08-21T14:19:45.947772,[],2024-08-21T14:19:27.575857,2024-08-21T14:19:46.099095
13,0.875,2024-08-21T14:19:46.115871,2024-08-21T14:20:04.059176,[],2024-08-21T14:19:46.109868,2024-08-21T14:20:04.211397
14,0.9,2024-08-21T14:20:04.230943,2024-08-21T14:20:20.868238,[],2024-08-21T14:20:04.224164,2024-08-21T14:20:21.017548
15,0.875,2024-08-21T14:20:21.035184,2024-08-21T14:20:38.567482,[],2024-08-21T14:20:21.028574,2024-08-21T14:20:38.718342
16,0.9,2024-08-21T14:20:38.748764,2024-08-21T14:20:55.847029,[],2024-08-21T14:20:38.731002,2024-08-21T14:20:56.001529
17,0.85,2024-08-21T14:20:56.020585,2024-08-21T14:21:15.102245,[],2024-08-21T14:20:56.013526,2024-08-21T14:21:15.254483
18,0.875,2024-08-21T14:21:15.275821,2024-08-21T14:21:33.074715,[],2024-08-21T14:21:15.269294,2024-08-21T14:21:33.226345
19,0.9,2024-08-21T14:21:33.245707,2024-08-21T14:21:51.594069,[],2024-08-21T14:21:33.238771,2024-08-21T14:21:51.743880
20,,2024-08-21T14:21:51.762394,2024-08-21T14:22:10.848572,[],2024-08-21T14:21:51.755275,2024-08-21T14:22:10.996587
21,0.9,2024-08-21T14:22:21.015936,2024-08-21T14:22:40.296775,[],2024-08-21T14:22:21.008878,2024-08-21T14:22:40.447318
22,0.8,2024-08-21T14:22:40.464861,2024-08-21T14:22:59.589017,[],2024-08-21T14:22:40.458374,2024-08-21T14:22:59.739973
23,0.875,2024-08-21T14:22:59.758249,2024-08-21T14:23:19.240131,[],2024-08-21T14:22:59.751357,2024-08-21T14:23:19.391311
24,0.85,2024-08-21T14:23:19.409272,2024-08-21T14:23:37.845006,[],2024-08-21T14:23:19.402800,2024-08-21T14:23:37.996766
