,accuracy,start,end,dead_kernels,external_start,external_end
0,0.8945000000000001,2024-06-21T12:14:07.199365,2024-06-21T12:14:28.340478,[],2024-06-21T12:14:07.191966,2024-06-21T12:14:28.346470
1,0.891,2024-06-21T12:14:28.368149,2024-06-21T12:14:50.191033,[],2024-06-21T12:14:28.359083,2024-06-21T12:14:50.197515
2,0.8976000000000001,2024-06-21T12:14:50.220667,2024-06-21T12:15:11.352740,[],2024-06-21T12:14:50.212106,2024-06-21T12:15:11.359258
3,0.893,2024-06-21T12:15:11.382002,2024-06-21T12:15:34.641169,[],2024-06-21T12:15:11.372539,2024-06-21T12:15:34.648474
4,0.8967,2024-06-21T12:15:34.671397,2024-06-21T12:15:55.795538,[],2024-06-21T12:15:34.664293,2024-06-21T12:15:55.801740
5,0.8798,2024-06-21T12:15:55.820892,2024-06-21T12:16:17.857739,[],2024-06-21T12:15:55.814765,2024-06-21T12:16:17.863374
6,0.8876000000000001,2024-06-21T12:16:17.884356,2024-06-21T12:16:39.784633,[],2024-06-21T12:16:17.876995,2024-06-21T12:16:39.790586
7,0.8888,2024-06-21T12:16:39.808496,2024-06-21T12:17:02.803724,[],2024-06-21T12:16:39.802556,2024-06-21T12:17:02.810109
8,0.8821,2024-06-21T12:17:02.830985,2024-06-21T12:17:25.151999,[],2024-06-21T12:17:02.824046,2024-06-21T12:17:25.158295
9,0.8886000000000001,2024-06-21T12:17:25.178017,2024-06-21T12:17:47.267278,[],2024-06-21T12:17:25.171976,2024-06-21T12:17:47.272654
10,0.8928,2024-06-21T12:17:47.293208,2024-06-21T12:18:09.099481,[],2024-06-21T12:17:47.284724,2024-06-21T12:18:09.106362
11,0.8897,2024-06-21T12:18:09.126263,2024-06-21T12:18:30.996946,[],2024-06-21T12:18:09.119925,2024-06-21T12:18:31.003866
12,0.8899,2024-06-21T12:18:31.025044,2024-06-21T12:18:53.253420,[],2024-06-21T12:18:31.016755,2024-06-21T12:18:53.259221
13,0.8914000000000001,2024-06-21T12:18:53.278928,2024-06-21T12:19:15.353077,[],2024-06-21T12:18:53.271942,2024-06-21T12:19:15.359507
14,0.886,2024-06-21T12:19:15.384701,2024-06-21T12:19:38.230253,[],2024-06-21T12:19:15.375486,2024-06-21T12:19:38.235805
15,0.8895000000000001,2024-06-21T12:19:38.256563,2024-06-21T12:19:59.228032,[],2024-06-21T12:19:38.249045,2024-06-21T12:19:59.234891
16,0.892,2024-06-21T12:19:59.255035,2024-06-21T12:20:20.220509,[],2024-06-21T12:19:59.248482,2024-06-21T12:20:20.227811
17,0.8924000000000001,2024-06-21T12:20:20.251082,2024-06-21T12:20:42.367646,[],2024-06-21T12:20:20.242242,2024-06-21T12:20:42.374634
18,0.8926000000000001,2024-06-21T12:20:42.394049,2024-06-21T12:21:03.237019,[],2024-06-21T12:20:42.388077,2024-06-21T12:21:03.242831
19,0.8858,2024-06-21T12:21:03.260353,2024-06-21T12:21:24.820264,[],2024-06-21T12:21:03.254752,2024-06-21T12:21:24.826832
20,0.8872,2024-06-21T12:21:24.846261,2024-06-21T12:21:46.410786,[],2024-06-21T12:21:24.840175,2024-06-21T12:21:46.415774
21,0.8922,2024-06-21T12:21:46.455137,2024-06-21T12:22:07.332324,[],2024-06-21T12:21:46.427240,2024-06-21T12:22:07.338945
22,0.8848,2024-06-21T12:22:07.357818,2024-06-21T12:22:28.988608,[],2024-06-21T12:22:07.351816,2024-06-21T12:22:28.994533
23,0.8855000000000001,2024-06-21T12:22:29.013561,2024-06-21T12:22:49.709047,[],2024-06-21T12:22:29.007547,2024-06-21T12:22:49.714610
24,0.8962,2024-06-21T12:22:49.733448,2024-06-21T12:23:11.405468,[],2024-06-21T12:22:49.726720,2024-06-21T12:23:11.410691
