,accuracy,start,end,dead_kernels,external_start,external_end
0,0.8798,2024-06-21T11:52:30.062504,2024-06-21T11:52:57.462815,[],2024-06-21T11:52:30.055245,2024-06-21T11:52:59.937689
1,0.884,2024-06-21T11:52:59.956833,2024-06-21T11:53:27.559175,[],2024-06-21T11:52:59.950516,2024-06-21T11:53:29.757188
2,0.8905000000000001,2024-06-21T11:53:29.775645,2024-06-21T11:53:55.410011,[],2024-06-21T11:53:29.769662,2024-06-21T11:53:56.878491
3,0.8872,2024-06-21T11:53:56.898761,2024-06-21T11:54:23.652791,[],2024-06-21T11:53:56.890925,2024-06-21T11:54:25.236966
4,0.8926000000000001,2024-06-21T11:54:25.257663,2024-06-21T11:54:51.169200,[],2024-06-21T11:54:25.250435,2024-06-21T11:54:53.600869
5,0.886,2024-06-21T11:54:53.624132,2024-06-21T11:55:18.378293,[],2024-06-21T11:54:53.615882,2024-06-21T11:55:20.440803
6,0.8937,2024-06-21T11:55:20.461325,2024-06-21T11:55:45.081793,[],2024-06-21T11:55:20.455292,2024-06-21T11:55:46.433386
7,0.8939,2024-06-21T11:55:46.455185,2024-06-21T11:56:11.740597,[],2024-06-21T11:55:46.448771,2024-06-21T11:56:13.427598
8,0.8863000000000001,2024-06-21T11:56:13.445617,2024-06-21T11:56:37.199841,[],2024-06-21T11:56:13.439687,2024-06-21T11:56:38.543446
9,0.889,2024-06-21T11:56:38.561717,2024-06-21T11:57:02.648246,[],2024-06-21T11:56:38.554641,2024-06-21T11:57:04.327761
10,0.8855000000000001,2024-06-21T11:57:04.345506,2024-06-21T11:57:30.334603,[],2024-06-21T11:57:04.339116,2024-06-21T11:57:31.762650
11,0.8892,2024-06-21T11:57:31.780420,2024-06-21T11:57:56.227231,[],2024-06-21T11:57:31.774424,2024-06-21T11:57:57.588491
12,0.8882,2024-06-21T11:57:57.613077,2024-06-21T11:58:22.589145,[],2024-06-21T11:57:57.604158,2024-06-21T11:58:24.115575
13,0.892,2024-06-21T11:58:24.135457,2024-06-21T11:58:48.989857,[],2024-06-21T11:58:24.127446,2024-06-21T11:58:50.678029
14,0.8883000000000001,2024-06-21T11:58:50.697329,2024-06-21T11:59:14.434380,[],2024-06-21T11:58:50.690478,2024-06-21T11:59:15.847575
15,0.882,2024-06-21T11:59:15.867332,2024-06-21T11:59:41.882202,[],2024-06-21T11:59:15.858838,2024-06-21T11:59:44.065048
16,0.8928,2024-06-21T11:59:44.086859,2024-06-21T12:00:09.991630,[],2024-06-21T11:59:44.080596,2024-06-21T12:00:11.464356
17,0.8781,2024-06-21T12:00:11.483855,2024-06-21T12:00:39.193565,[],2024-06-21T12:00:11.477297,2024-06-21T12:00:40.874570
18,0.8901,2024-06-21T12:00:40.894824,2024-06-21T12:01:06.728959,[],2024-06-21T12:00:40.886259,2024-06-21T12:01:08.208229
19,0.8896000000000001,2024-06-21T12:01:08.229820,2024-06-21T12:01:35.102428,[],2024-06-21T12:01:08.221935,2024-06-21T12:01:37.082428
20,0.8932,2024-06-21T12:01:37.107843,2024-06-21T12:02:03.547255,[],2024-06-21T12:01:37.099780,2024-06-21T12:02:05.143177
21,0.8909,2024-06-21T12:02:05.180990,2024-06-21T12:02:31.643766,[],2024-06-21T12:02:05.155071,2024-06-21T12:02:33.835157
22,0.8934000000000001,2024-06-21T12:02:33.853758,2024-06-21T12:03:00.178303,[],2024-06-21T12:02:33.847884,2024-06-21T12:03:01.570093
23,0.8843000000000001,2024-06-21T12:03:01.590795,2024-06-21T12:03:29.493057,[],2024-06-21T12:03:01.584369,2024-06-21T12:03:31.139964
24,0.8871,2024-06-21T12:03:31.161977,2024-06-21T12:03:58.339796,[],2024-06-21T12:03:31.155129,2024-06-21T12:04:00.008276
