,accuracy,start,end,dead_kernels,external_start,external_end
0,0.8852000000000001,2024-06-21T12:33:39.119705,2024-06-21T12:34:03.597202,[],2024-06-21T12:33:39.065028,2024-06-21T12:34:03.604988
1,0.8947,2024-06-21T12:34:03.626599,2024-06-21T12:34:28.918069,[],2024-06-21T12:34:03.620571,2024-06-21T12:34:28.923242
2,0.8897,2024-06-21T12:34:28.940948,2024-06-21T12:34:54.473584,[],2024-06-21T12:34:28.934839,2024-06-21T12:34:54.479144
3,0.8884000000000001,2024-06-21T12:34:54.496594,2024-06-21T12:35:21.643121,[],2024-06-21T12:34:54.490825,2024-06-21T12:35:21.650350
4,0.8917,2024-06-21T12:35:21.669155,2024-06-21T12:35:48.664233,[],2024-06-21T12:35:21.662951,2024-06-21T12:35:48.670322
5,0.8931,2024-06-21T12:35:48.691768,2024-06-21T12:36:15.194057,[],2024-06-21T12:35:48.683454,2024-06-21T12:36:15.199535
6,0.8782000000000001,2024-06-21T12:36:15.219517,2024-06-21T12:36:41.952082,[],2024-06-21T12:36:15.211317,2024-06-21T12:36:41.959238
7,0.8895000000000001,2024-06-21T12:36:41.980425,2024-06-21T12:37:10.010693,[],2024-06-21T12:36:41.974119,2024-06-21T12:37:10.017247
8,0.8908,2024-06-21T12:37:10.037127,2024-06-21T12:37:36.108692,[],2024-06-21T12:37:10.030562,2024-06-21T12:37:36.114954
9,0.8907,2024-06-21T12:37:36.138443,2024-06-21T12:38:03.484583,[],2024-06-21T12:37:36.129234,2024-06-21T12:38:03.491267
10,0.8848,2024-06-21T12:38:03.512503,2024-06-21T12:38:30.651753,[],2024-06-21T12:38:03.505824,2024-06-21T12:38:30.657385
11,0.8878,2024-06-21T12:38:30.675232,2024-06-21T12:38:56.950523,[],2024-06-21T12:38:30.668917,2024-06-21T12:38:56.957532
12,0.8897,2024-06-21T12:38:56.979609,2024-06-21T12:39:22.947990,[],2024-06-21T12:38:56.972736,2024-06-21T12:39:22.953435
13,0.8936000000000001,2024-06-21T12:39:22.972048,2024-06-21T12:39:50.286866,[],2024-06-21T12:39:22.965205,2024-06-21T12:39:50.293470
14,0.8913000000000001,2024-06-21T12:39:50.314522,2024-06-21T12:40:16.771439,[],2024-06-21T12:39:50.306702,2024-06-21T12:40:16.778689
15,0.8875000000000001,2024-06-21T12:40:16.802521,2024-06-21T12:40:43.655255,[],2024-06-21T12:40:16.792993,2024-06-21T12:40:43.661339
16,0.8917,2024-06-21T12:40:43.680049,2024-06-21T12:41:10.424908,[],2024-06-21T12:40:43.673891,2024-06-21T12:41:10.430845
17,0.8928,2024-06-21T12:41:10.450952,2024-06-21T12:41:38.171233,[],2024-06-21T12:41:10.443511,2024-06-21T12:41:38.177495
18,0.8917,2024-06-21T12:41:38.196996,2024-06-21T12:42:05.127126,[],2024-06-21T12:41:38.190657,2024-06-21T12:42:05.133473
19,0.8941,2024-06-21T12:42:05.154008,2024-06-21T12:42:32.843240,[],2024-06-21T12:42:05.146826,2024-06-21T12:42:32.849753
20,0.8955000000000001,2024-06-21T12:42:32.874782,2024-06-21T12:42:58.417169,[],2024-06-21T12:42:32.867328,2024-06-21T12:42:58.423353
21,0.8883000000000001,2024-06-21T12:42:58.604700,2024-06-21T12:43:26.049904,[],2024-06-21T12:42:58.436801,2024-06-21T12:43:26.056018
22,0.8957,2024-06-21T12:43:26.075596,2024-06-21T12:43:53.434391,[],2024-06-21T12:43:26.069821,2024-06-21T12:43:53.439663
23,0.8922,2024-06-21T12:43:53.457598,2024-06-21T12:44:19.962634,[],2024-06-21T12:43:53.451189,2024-06-21T12:44:19.968567
24,0.8919,2024-06-21T12:44:19.987791,2024-06-21T12:44:46.377466,[],2024-06-21T12:44:19.981385,2024-06-21T12:44:46.385016
